,user,text,favorite_count,retweet_count,created_at
26,3laa7gag,"@lookatthemoonn_ @shinangg يعنى الأيام الأوفلاين دى اللى بيقولوا عليها عبارة عن ال live sessions ؟؟
وعدم حضورها بيأثر على الدرجات بعد كده ولا لأ؟؟",0,0,2023-02-20 10:55:32+00:00
27,3laa7gag,@lookatthemoonn_ @shinangg المحتوى بتاعها كشرح بيكون زى ITI كده ولا الكونتينت بالانجلش على الموقع وبنزاكر منها ومجرد فى الاوفلاين بيشوفوا حد واقفله حاجه؟؟,0,0,2023-02-20 09:39:37+00:00
28,3laa7gag,"لعل تكون هى المنجية ليك وبها تدخل رحمت الله..
التلاته اللى الكهف اتقفل عليهم ما خرجوش منه غير لما كل واحد تقرب لربنا بعمل صالح صادق ابتغى فيه وجهه.
سيدنا محمد صلى الله عليه وسلم قال {اتقوا النار ولو بشق تمرة} فما تستهونش بأى عمل تعمله..
ربنا يستعملنا فى خير.",0,0,2023-02-15 23:54:38+00:00
29,3laa7gag,"خلى بينك وبين ربنا عمل صالح تبتغى بيه وجهه يعنى لو لقيت حد محتاج مساعدة انت قادر توفرها اعملها بدون الناس ما يحسوا أو يشوفوك ولو قدرت تخلى اللى بتقدمله المساعده ده ما يعرفكش يكون افضل وكلم ربنا فى سرك وقول يا رب اللى عملته ده بينى وبينك ابتغيت به وجهك
١",3,0,2023-02-15 23:54:37+00:00
30,3laa7gag,الحمدلله كده اطمنت https://t.co/VaKrxrDRTO,0,0,2023-02-15 22:44:31+00:00
31,3laa7gag,الشعور بالتقصير في حق نفسى ده بغض النظر عن الناس أكتر حاجة مؤذية وبتستهلكنى حرفيا..,1,0,2023-02-15 22:39:07+00:00
32,3laa7gag,"اللهم إن أسألك الثبات في الأمر، والعزيمة على الرشد،
وأسألك شكر نعمتك، وحسن عبادتك،
وأسألك لسانًا صادقًا، وقلبا سليمًا،
وأسألك من خير ما تعلم، 
وأعوذ بك من شر ما تعلم،
وأستغفرك لما تعلم،
إنك أنت علام الغيوب",0,0,2023-02-15 18:06:47+00:00
33,3laa7gag,"دى السلسة على اليوتيوب
https://t.co/rsESJijceY

لو حد محتاجها صوت بس فده الرابط بتاعها على الساوند
https://t.co/jZg9dTeJwq",0,0,2023-02-15 14:23:47+00:00
34,3laa7gag,"سلسلة العظماء المائة لجهاد التربانى من أفضل المحتوى التاريخى الإسلامى، واللى فيه اتكمل عن عظماء مسلمين مجهولين غيروا الدنيا فى زمانهم وأعلوا شأن الاسلام، فالحقيقة الغرب خليهم مجهولين لينا علشان يضيعوا هويتنا وقدوتنا..
أنا بانصح أى حد نفسه يعرف تاريخنا الصحيح
@alturbani",0,0,2023-02-15 14:23:46+00:00
35,3laa7gag,@ahmedaabed202 ال Exception رد فى وشى كان هيقتلنى,0,0,2023-02-15 13:56:46+00:00
