,user,text,favorite_count,retweet_count,created_at
25,3laa7gag,"فإذا قلت اللهم اغفر لفلان، اللهم أصلح قلبه وعمله، اللهم يسر أموره، اللهم ارزقه الذرية الصالحة، الزوجة الصالحة، العلم النافع، تدعو لأخيك بما تراه مناسبا، والملك الموكل يقول: آمين ولك بمثله،
.
.",0,0,2023-05-12 23:49:44+00:00
26,3laa7gag,"وفي الحديث الصحيح يقول ﷺ: ما من مؤمن يدعو لأخيه بظهر الغيب إلا قال الملك الموكل: آمين ولك بمثله فدعوة المسلم لأخيه المسلم في ظهر الغيب مستجابة، فأنت يا أخي على خير إذا دعوت لأخيك تنفعه وتنفع نفسك، الملك يؤمن ويدعو لك يقول لك: ولك بمثله، 
.
.",0,0,2023-05-12 23:49:43+00:00
27,3laa7gag,ألا مارك حتى ما عبرنيش بلايك حتى,0,0,2023-05-12 20:19:25+00:00
28,3laa7gag,حزن💔 https://t.co/6jk2vr3rx0,0,0,2023-05-12 19:23:28+00:00
29,3laa7gag,⁦♥️⁩🥰 https://t.co/1Cfoi6lQE7,1,0,2023-05-12 02:37:31+00:00
30,3laa7gag,"@karimamd95 الحاجة الوحيدة اللى كانت سهلة هى اليوم بتاع الملاهى والألعاب اللى بيجيبوها دى مش عارف بيسموا اليوم ده ايه الصراحه 🙂
بس فى سنة كانوا جايبين دى چى والموضوع قلب كازينو ورقص لدرجة كان عندنا سيكشن يوميها وبالعافية المعيد عرف يكمل السيكشن والدكاترة اشتكت بس الموضوع كمل عادى برده😂",0,0,2023-05-11 13:28:28+00:00
31,3laa7gag,"@moustafa_alaa22 Congrats ♥️👏, you deserve more than that♥️",1,0,2023-05-10 15:59:42+00:00
32,3laa7gag,"من أفضل القنوات التقنية اللى الساحة حاليا وإن كان فى نظرى فهى أفضلهم⁦♥️⁩
ربنا يوفقك يا بشمهندس ويجعله في ميزان حسناتك وتستمر دائما فى تقدم بالأداء الراقى ده 🌹⁦♥️⁩ https://t.co/liqVMmDC5d",0,0,2023-05-09 20:59:34+00:00
33,3laa7gag,بحب الصور اللى زى دى قوى ⁦⁦♥️⁩ https://t.co/MQxRVAgeRA,0,0,2023-05-08 15:18:23+00:00
34,3laa7gag,"منتظر رسالة مهمة على الميل فالموضوع حرفياً مشتتنى جامد تقريبا كل شوية لازم أفتح وأبص على spam و Promotions وحتى ال trash 😂⁦

-ال trash : أنا مالى يا لمبى😒😂",0,0,2023-05-08 15:09:04+00:00
35,3laa7gag,"دا كبر خفى بيقود صاحبه لأشر أعماله حرفياً، أنا هنا بكلم اللى مرجعيته الدين أساساً لكن اللى غير كده فصعب يفهم الكلام ده.
عقلك ما يقدرش يستوعب كل شئ { وما أوتيتم من العلم إلا قليلا } واقرأ كويس قبل ما تستنقص أو تنتقد لأن الحمدلله ديننا ملئ بالرد السليم على الشبهات والفتن.",0,0,2023-05-08 00:11:41+00:00
